, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
t,?????,,"good (G);
","??? ???? ?? ???? ?? ??????? ?? ""?????"" ???? ??? ???? ?? ???, ?????, ???????, ????? ?? ?????? ????? ???? ""??????????"" ?? ""???"" ???? ?? ???? ?? ???????? ?? ??? ????? ????? ???? ?? ???? ?????? ?? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ,???????? ,"Good Report (W);
beautiful speech (G);good telling (R); 
 good talk (K);","???????? ?? ???? ?? ??? ??????? ?? (???? ?? ????????? ??) ????? ?? ?? ???????? ?? ??? ?? ????? ?? ????? ???? ?? ?? ?????? ????? ???? ???? ?? ?? ???????? ???? ??? ?? ???? ?? ??????? ???? ???, ?? ????? ?? ???, ???? ???, ??? ??? ??? ?? ???, ?? ?? ????????????????? ?? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????????,,"ruling person (of a region);
chief (of the people in a country) (G);big leader from the government (R); kilifa (W from Arabic)",???????? ?? ??????? ???? ??? ?? ???? ??????? ?? ??????? ?? ???? ??? ?? ???? ???? ???? ???? ???? ?? ??? ?? ???? ????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,?????,"forgive; make good;
coming/falling onto (to help/aid/show mercy to someone);
and nobody pays for it (W);
pity and patience (for people) (G);love/pity (K); like (K)
","??????? ?? ????? ?? ?? ???????? ?? ???????? ?? ??? ???? ??, ????? ?????? ?? ???? ????? ???? ??, ???? ???? ?? ????? ??, ???? ????? ???? ???? ??? ?????? ???? ??, ???? ???? ???? ???? ?? ????? ???? ??, ?? ???? ???? ????? ????? ??? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,????? ,wine seeds (R); ,"????? ?? ?????? ?? ?? ?? ?? ???? ?? ????, ????? ??? ?? ???? ??? ???? ?? ?? ???? ???? ???? ??? (????? ??? ???? ????? ??? ??? ???? ????? ????? ?? ?? ???? ???? ???? ?? ???? ?? ??? ?? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,??????,"the condition of having done something bad (G); 
that deseriving death (W);","???????? ?? ???? ?? ???? ?? ??? ????? ????? ?? ?? ????? ??? ???? ??????? ?? ???? ?? ????? ??? ????? ????? ??? ?? ??? ??????? ???????? ?? ?????? ?? ??????? ???? ??, ?? ?? ???? ????? ???? ?? ???? ??? ??? ???? ?????????? ?? ?????? ???? ???? ?????? ???????? ?? ?????? ???? ?? ???? ??? ????? ??, ???? ??????? ?? ????????? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,,ice stones; frozen rain stones,??? ???? ?? ??? ??? ?????? (????) ???? ??? ?? ???? ?? ????? ?? ??? ????? ???; ???? ??? ??? ??????,,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,"??????, ?????","the Above;
sky;
way up high (G); heaven (R); ","?????? ?? ???? ?? ?? ?? ??? ?? ????? ?? ?????? ?? ??? ??, ?????? ???, ????, ????, ???????? ?? ?????? ??? ?? ???? ???? ???? ??? ?????? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,????,,"???? ????? ?? ?? ???? ??, ????? ??? ?? ??? ???? ????? (???-?????) ????? ??????? ??? (??????) ?? ??? ???? ??? ?? ???? ?????? ????? ?? ??? ????? ?? ??? ??? ???? ?????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,????? ???? ,leader of the giving to God ones (R); head man of priests (U),"??????? ??? ?????? ?? ???? ???? ??? ??????? ?? ??????? ??????? ?? ???? ????? ?? ????? ?? ??? ?????? ????? ??? ???? ?? ?????? ??, ???? ?? ???? ?? ????? ?? ????? ?? ??? ???????? ?? ?????? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,"????????, ????????, ","unique;
set apart / special / sacred; 
pure or having no sin/guilt/moral fault;
belonging to God (associated with God);
staying away from bad things/deeds (G);
Pure (W); belonging to God (R); clean (R); straight (k);","?????? ?? ???? ?? (1) ?????, ??????, (2) ????? ???? ???; (3) ????????, ?????? ?? ?????; ???; ????? ?? ??????? ?? ???? ???????, ?? (4) ????? ?? ????? ???????? ???? ?? ?????? ??? ??? ??, ?? ????? ????? ?? ?????? ????? ??? ??? ??? (????? ??????? ?? ??? ???? ??, ????? ???? ?? ?????? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ?????,"???????? ?? ?????, ???? ?? ?????, ???? ?? ?????, ???????? ?? ?????? ?????","God's Spirit;
God's breath;
the Attractive/Good Spirit (G);
Spirit of Jesus;
The Pure Breath (W); Straight Spirit (R); bright/perfect breath/wind (U)","??????? ???????? ?????? ??, ?? ???????? ????? ??, ????? ????? ???????? ?? ?????? ????? ???? ??? ???? ???? ????? ??? ??? ????? ??? ???????? ??, ???? ?? ?????? ????? ?????? ??? ??? ????? ??? ???????? ???? (???? ?? ???? ???? ?? ?? ?????? ????? ?? ????? ?? ??? ??? ????? ?? ???? ??? ??????? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,??????,"??????, ????????","honor / speak well of (G); 
stay under authority / have first place / lift up/praise name of / make happy (U)t","???? ?? ???????? ???? ?? ????? ?? ?? ??? ??????? ????? ???? ?? ????? ??, ?? ???? ??????? ?? ????, ?????? ?? ?????? ?? ????? ?????? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,?????,,"????? ????, ?????? ?? ???? ?????? ???? ????? ???? ??? ??? ?? ????? ????? ?? ???? ???? ?????? ????? ?? ?? ?????? ?? ??? ???? ?? ??? ???????? ???? ?? ???? ??? ????? ?? ???? ?? ???? ???, ????? ????? ?? ?? ??? ?? ???? ?? ???? ?? ???? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,,osaana (R); praise / be happy with (U);,"""???????"" ?? ??????? ?? ?? ????? ???? ???? ?? ?????? ??? ???????? ??? ???? ???? ?? ""???????? ??? ????? ???!""?",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,,(little) tree called isop (K); ,"??????? ?? ?????? ?? ???? ??? ??????? ?? ?????? ??? ?? ??? ??? ??????? ?? ????? ?????? ??, ??? ?? ??? ?? ????? ?? ?????? ?? ??????? ?? ???? ?? ???????? ?? ?????? ??? ?????? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,????????? ? ??????? ,"(carved/man-made) image worshipped by people;
image;
false god (G, K);
carving (W, R)","????????? ??? ??????? ??? ????? ???? ??? ???????? ?? ?? ??????? ???? ???? ?????? ?? ???????, ???????? ??? ???? ?? ?? ???? ??? ???? ?? ???????????? ???? ?? ?? ????? ?? ????? ???? ????? ??? ??? ????? ?? ????? ?? ????????? ????? ???? ????? ?? ????? ???? ?? ??? ????? ?? ????? ?????? ??? ??? ????? ???? ??, ????? ?? ?????? ?? ????????? ???? ???, ?? ????? ?? ???????? ???? ????????? ????????",,,,,,,,,,,,,,,,,,,,,,,,
t,????????,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)",???????? ???? ???? ?? ?? ?? ???? ?? ??? ?? ?? ????? ?? ???? ????? ???? ??? ?? ???? ???? ??????? ?? ???? ???? ??? ???????? ????? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,????,,,"???? ?? ????? ???? ?? ?? ????, ??????, ????? ???????? ?? ?? (?????? ?????? ????? ???? ????) ?? ??????? ????? ?? ??? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,???????? ,,"???????? ????? ?? ???? ???, ????? ??? ??????? ????? ????????, ??????? ???? ??? ?? ????? ??? (???? ?? ?????? ???? ?? ???, ?? ????????? ?? ???? ??????? ?? ??? ??????? ????) ??? ?? ?? ????? ??? ??? ???? ?? ???, ?????? ????? ?? ???????? ?? ??????? ????? ?? ????? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???,"???, ???????, ???, ??? ??? ???","place where one is emprisoned (G);
","??? ?? ??????? ?? ???? ?? ?? ?? ???? ???? ?? ???? ??????? ????????? ?? ???? ????? ?? ????? ????? ?? ??? ???? ???? ????? ?? ????? ?? ??? ???, ???? ?? ??????? ?? ??? ??? ?? ????? ?? ??? ?? ??? ??? ??? ???? ??? ??? ??? ??? ??? ??????? ?? ???? ??? ???? ??? ??? ?? ??????? ?? ?????? ???? ???? ??????? ?? ???? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????,"????, ???? , ???? ",stone (R); beads (R); stones you pay big money (U);,???? ??????? ????? ?? ????? ????? ???? ??? ????? ???? ???? ??????? ???? ??? ??????? ?? ??????? ???? ???? ?? ???? ????? ?? (?? ??????? ?? 12 ??????? ?? ?????? ??)? ????????????? ?? ?????? ??? ?? ??????? ?? ????? ?????? ?? ??? ??????? ?? ??? ??? ???? ??? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ??????? ??????,"??????? ????, ????? ??????? ????","leaders of Jews who believe in God (G); 
","????? ??????? ?????? ??? ??????, ?????, ???????? ?? ?????? ????? ??, ????? ??? ?????? ?? ???????? ?? ?????? ?? ????? ?? ???? ???? ???? ??? ??? ???? ??? ??? ?? ???? ???? ?? ???????? ???? ?? ?? ???? ?? ???? ???????? ?? ?????? ???????? ?? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????????,???????????,"leader of the Jews in Kanaan land (G); 
man (who) decides (solution for) or resolves disputes/talks (U);","??????? ??? ???, ??????? ??? ???? ???? ?? ????, ????????? ?????? ?? ???? ???? ??? ?? ??????????? ?? ?????? ?? ??????? ?? ???-??????? ?? ???????, ???? ?? ?? ????? ??? ??????? ?? ??????? ???? ?? ?? ?????? ???
????? ????, ?????? ???? ???? ???
?????? ??? ???, ????????? ????? ?? ????? ??? ????? ?????? ???? ?? ?????? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????????,"?????, ???????????, ????????, ???? ??????","one is held to be good in (God's) presence (G);
Set someone right (W); call them straight ones (R); call them straight in his eyes (R);
tell correctly people's works (G);
","????? ?? ???? ?? ??????? ?? ?????? ?? ???? ????? ?? ?????? ??????? ??????? ?? ???? ???? ??? ?? ?????? ????????? ????? ?? ?????? ?????? ?? ????? ???? ??? ???????? ?????? ?? ?? ?? ???? ?????? ?? ?????? ????? ?? ???????? ?? ??? ???? ??? ???????? ?? ????? ?? ????? ?? ????????? ????? ?? ?? ??????? ?? ??? ???? ????? ?? ??????? ???? ???? ??????? ????? ????? ???? ?????? ??? ?? ????? ??????? ??, ?? ????? ??????? ?? ?? ?? ???? ????????? ?? ????? ??? (???????? ?? ????? ?? ????????? ???? ?????? ?? ???? ?????? ???? ?? ????? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???,??????? ,"doing good to people (G); 
",??????? ?? ???? ?? ?????? ?? ????? ??????? ?? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"??????, ???? ","ruler/authority person;
Chief (G); king (R);
","???? ???? ?????? ?? ???? ????? ?? ??????? ?? ???????? ???? ??? ???? ??? ??? ??????? ???? ???? ?? ???? ????? ?? ??? ??? ???? ??? (??? ???????, ????? ?? ????????? ???? ?????? ?? ???-??? ???????? ?? ????? ?? ??????? ??, ????, ??? ???? ???? ?? ????? ???? ??; ????? ???? ???? ?? ????? ???? ??; ?? ?????????? ?? ???? ???? ?? ???????? ??? ??)?",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"?????, ?????????, ",,"????? ?? ??? ??????? ?? ?????? ???? ???? ?? ????? ?? ???? ???? ??? ????????? ?? ????? ???? ?? ???? ?? ???? ???? ??????? ?? ??????? ?? ???? ???? ??? ???-??? ""???????"" ???? ????? ?? ?????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ?? ?????,"?????? ?? ?????, ???????? ?? ?????","realm of God;
How God rules [reigns] over everything;
God's ruling of people (G); government of God (R); ","???????? ?? ????? ???? ????? ?? ???? ?????? ???????? ?? ???? ???? ????? ???? ????? ????? ???: ????, ??????? ?? ???? ??, ?? ?? ????? ??? ??? ?? ???????? ?? ????? ?? ?????? ?? ????? ???????? ?? ????? ??? ?? ??? ????? ??? ?? ???? ?? ?????? ?? ??????, ????? ??? ???? ???? ?? ??? ??? ???? ???? ?? ??? ??????? ???? ????
???-??? ""???????"" (???? ?? ??????) ???? ?? ?????? ????? ?? ?????? ?? ??? ??? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,"?????, ?????",the real knowing of things (G);,"????? ?? '?????' ?? ???? ?? ???? ?? (1) ?? ?? ??? ???? ??? ??? ?? ???? ??? ?? ????? ???? ??? ??? ?? ???? ???; (2) ??? ????? ?? ??? ??????? ??? ?? ????? ???; (3) ???? ?? ??? ???? ?? ????? ?? ??????? ???? ?? ???? ????; ?? (4) ?? ??? ????? ???? ?????
?????? ?? ???? ?? ?? ????? ?? ????? ????? ??????? ?? ??? ???? ??? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ?? ?????,???????? ?? ?????,"adolescent man sheep of God (K); young/small sheep of God (R, W)","??????? ???????? ???????? ?? ???? ?? ???????? ?? ?????? ???, ??????? ?? ????? ?? ?? ???? ?????? ?? ??? ??? ??????, ???? ???????? ?? ???????? ?? ????? ????? ?? ????? ?????? ???? (????????????? ?? ?????? ???? ?? ?? ?????? ???? ?? ?? ???? ??? ??, ????? ??? ?? ????? ?? ??? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ,"????, ??????",,"???????? ???? ?? ??? ?? ???? ???? ??, ?? ?? ?? ?? ?? ???? ????? ?? ????? ?? ????? ???? ??, ??? ???? ???? ?? ???????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"??????, ???",earth/land (G);,"???? ?? ???? ?? ???? ?? (1) ?? ????? ??? ?? ?? ???? ???, (2) ?? ?????? ?????? ?? ??? ???? ???, (3) ?? ??? ?????? ?? ???? ???, ?? (4) ?????? (????? ???? ?? ?? ???) ?? ??????? ?? ?? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ?? ???????? ,???????? ,the words of Moses of long ago (G); instructions from God through Moses; Way of Moses (W);,"???????? ??? ?? ???? ?? ??????? ??? ?? ???????? ?? ??????????? ?? ??? ???? ?? ???? ??? ???????? (1) ???? ?? ??????? ?? ???? ??? ????? ?? ?? ???????? ?? ??????? ???? ???, ?? (2) ???? ?????? ?? ?? ?? ????? ???? ???? ???????? ????? ??, ????? ???? ???????? ??? ??????? ?? ???? ??? ?? ??? ???? ??? (???? ??? ???? ?? ??????? ?? ???? ???? ???? ??? (?????? ?? ????? ????? ?? ?? ??????? ???? ??), ???????? ?? ???? ???? ?????)",,,,,,,,,,,,,,,,,,,,,,,,
t,????,?????? ,ones who guide you (G); head man (U),"???? ?? ???? ?? ?? ?????? ?? ??? ?????? ??? ???? ????????? ?????? ?? ???? ?? ?????? ??? ???? ??? ?? ????????? ?????? ?? ??????, ???????? ?? ?????? ??? ???? ??? ???? ?? ????????? ???? ?????? ?? ?????? ?? ?????-?????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????,"?????, ????? ????",lepra (R),"????? ??? ?? ????? ????? ??? ??? ?? ??? ?? ?????? ????? ?? ????? ??? ???? ??? ????? ?? ?????? ??? ?? ??? ?? ?????? ????? ?? ?????? ?? ??? ???? ????? ??? (??????? ?????? ??? ????? ?? ??? ???? ???? ??, ????? ???? ?? ???????? ?? ??? ???? ??? ?????? ??? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,???,laion (K); large cat / jaguar (G); simba (W);,"??? ???? ????, ?????, ?????? ????????? ??? ?? ???? ???? ??????? ?? ????? ?? ???? ???... (???? ??? ??? ???? ?? ???? ???? ???? ??? ?? ???? ?? ???? ????) (??? ?????? ???? ??? ?? ????? ?? ??? ???? ????) (?????? ?? ????? ????? ????? ?? ?? ???? ???) (???? ?? ????? ?? ????? ?? ??? ??? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,,"????? ????? (???-?????) ????? ??? ???? ????, ???, ???, ??? ?? ????, ??????? ??? ???? ???? ?? ??? ?? ??? ???? ??? ?? ???? ??????? ????? ?? ??? ???? ?????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????????? ,??????,,????????? ????? ???? ??? (???? ??????) ???? ??? ?? ???? ??? ??? ????? ?? ???? ????? ?? ???? ?? ???? ???? ??? ??? ???? ?? ??? ????????? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,Most High God; Big/Great person; the owner/boss of all people (G); rich & important man (R); big (K); Owner (W);,????? ?? ???? ?? (1) ??????? ??????????? ?????; (2) ???? ?? ????? ?? ??????; (3) ???; (4) ?? ????? ?? ???? ??????? ?? ???? ???? ??; ?? (5) ??????? ???? ?????? ?? ??????,,,,,,,,,,,,,,,,,,,,,,,,
t,,,"Most High God;
Big/Great person;
the owner/boss of all people (G); rich & important man (R); 
 big (K); Owner (W);
",,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"????? ????, ?????? ",Want (W);,"????? ?? ???? ?? ?? ?? ?????? ?? ??? ???? ?? ??????? ???? ???? ?? ????? ??? ?? ?? ????? ??? ????? ???????? ?? ???? ????? ?? ??? ???? ?? ????? ???? ????? ????, ?? ?? ??-????? ?? ????? ???????? ?? ???? ????, ?????? ?? ??? ? ???????? ???, ??-????? ?? ????? ???? ???? ????? ???? ?? ?? ????????? ????? ?? ???? ????? ?? ??? ???? ?? ??? ????-???? ????? ?? ????? ???? (?? ????? ?? ????? ????)?",,,,,,,,,,,,,,,,,,,,,,,,
t,??????,,sky watchers (W);star men; star knowers (G); men who studied the stars; lords of knowledge (W);,????? ??? ????????? ????? ???????? ?? ??????? ??????? ?? ??????? ?? ????? ?? ??? ???? ?? ????? ?? ?????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,"maanaa (R);
food which falls from the sky (G); 
","????? ?? ???? ?? ?? ???????? ?? ??????????? ?? ????? ?? ???? ?? ??? 40 ??? ?? ???? ???? ?? ????? ???? ??? ??????? ???? ???, ????? ?? ???? ?? ""?? ???? ???""? ?? ???? ???? ???? ???? ???? ???? ??? ???? ??? ???? ?? ??? ?? ??????, ?? ???? ???????? ???? ????? ?? ??-??? ?? ????? ?? ????? ?????? ???? ??? (????? ?? ????? ????? ???? ??, ????? ?? ????? ???? ?? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,???,?????,love/pity (R),"???, ????????? ?? ??????? ?? ????? ????? ???? ???? ????? ??? ???????? ???? ????????? ?? ?????????? ?? ?????? ???? ??? ?????? ??? ???? ?? ?? ??????? ?? ???? ???? ?? ??? ???? ?? ?????? ??? ??????",,,,,,,,,,,,,,,,,,,,,,,,
t, ????? ,??????? ,"The King (whom) God promised to send;
Our Truly Important Chief (G); the appointed man (U); 
Al-Masih (W); Kaarisito (R); Mesaia (K)
","??????? ???? ????? ?? ?????? ???? ??????? ?? ?????? ???????? ???? ??? ????? ?? ?????? ???? ?? ??? ???, ?????? ?? '????????' ??? ???? ?? ??????? ???? ??????????? ?? ???? ??? ?? ??? ?????? ??? ????? ?? ?? ???? ?? ??? ???, ???? ?? ????, ????? ?? ???????? ?? ???????? ??? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,"???????, ???????","something that caused people to be surprised (G); 
","??????? ?? ?? ??? ?? ?? ???? ???????? ?? ?? ???? ??? ???? ?? ?? ?????? ?? ??? ??????? ??? ?? ?? ???????????, ?? ???? ??????? ?? ?? ?????? ?? ??? ??????? ?? ???? ?? ?? ?? ???????? ?? ??? ???? ????????? ?? ????? ?? ??????? ?? ??? ???? ??? ??????? ??? ????, ?? ?? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,,mastad (K),"????? ?? ?????? ?? ????? ???? ?? ????? ????-???? ??? ???? ???? ?? ???? ???? ?? ???? ???? ???? ?? ??? ??, ""??? ???????? ??????? ??? ?? ???? ?? ????? ?? ??, ?? ??? ??????? ?? ?? ???? ???? ???""",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,,sticky substance of perfume called mira (R); good smelling sap of a tree called mira (K); sap that smells (W),"????? ?? ??? ???? ?? ?????, ??????? ?? ?? ??? ???? ??? ????? ??? ????? ?? ???????? ??? ?? ??? ?? ???? ??, ??????? ?? ???? ???? ??? ??? ???? ?? ????? ??????? ?? ??????? ???? ???? ????? ?? ???? ?? ??????? ??? ?? ????? ?? ???????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,,perfume called naad (R); good smelling liquid called nad (K);,????  ?? ????? ????? ?? ?? ???????????? ???? ???? ?? ?? ?? ???? ??? ?? ??? ?? ????? ?? ????? ?? ????? ????? ?? ???? ???? ?? ????? ?? ?????? ?????,,,,,,,,,,,,,,,,,,,,,,,,
t,???????,???????,"people (G); kingdom (W);
",?? ??????? ??? ?? ??? ???? ??? ?? ?? ??? ???? ???? ?? ??? ???? ???? ???? ????? ?? ???? ?????? ????? ??????? ???? ???? ????????? ?? ???????? ???? ?????? ????? ?? ??????? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,"???, ????, ?????????","promise (R); 
to truly declare what one is going to do (G);
bind talk (U);",??? ?? ???? ???????? ?? ?????? ?? ????? ???? ??? ?? ????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????,"?????, ????? ?? ???",tree of oliwa (R),????? ?? ?????? ?? ?? ???? ???? ???? ??? ?????? ????? ?? ?? ???? ???? ?? ??? ???? ????? ?? ??? ?? ??? ????? ?? ??? ?? ????? ???? ????? ?? ??? ????? ?? ???? ?? ?? ?? ?????? ??????? ???? ???? ??? ????? ?? ??? ?? ????? ???? ????? ?? ??? ???? ???? ?? ?? ????? ?? ??? ?? ??? ??? ????? ???? ??? ????????????? ?? ????????? ?? ?? ?????? ?? ??? ?? ????? ?? ??? ????? ???? ?????? ????? ????? ????? ??????? ?? ??? ?? ?????? ?? ??? ?? ?? ???? ???? ????? ??? ???? ??? ?? ?? ????? ?? ?????? ?? ?? ?????/???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"????, ???",Omegaa (R); finisher; ,"????? ????? ???????? ?? ????? ????? ?? ??? ??? ????? ?? ???? ?? ???? O? ????????????? ?? ?????? ??? ???? ?? ?????? ?? ?????, ???? ???? ?? ??? (??????, ??????????? ?? ??????????) ??? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ???? ,??? ???? ,"the big house of the real cheif (G); 
",?? ???? ?? ???? ???? ??.,,,,,,,,,,,,,,,,,,,,,,,,
t,??????,,God's gathering place (W); Paradais (k); God's living place (G); ),"?????? ?? ?????? ???? ?? ????? ???? ?? ""????? ??????"" (?????????? ?? ??? ?? ?????? ???? ??????? ?? ????? ????? ?? ??? ???? ???) ?? ???? ???, ?????? ?? ???? ?? (1) ?????? ??? ?? ????? ???? ?????? (???) ???????? ???? ???, ?? (2) ?????? ?? ?? ?????? - ?????? ???? ???????? ????? ?? ??? ????? ???????",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,,"valuable stone inside a clamshell (R), egg of kina shell (R); (valuable) stone inside a clamshell (K); a very good stone called per (G); ","???? ?? ????? ???? ?? ?? ?????? ?? ??? ??? (?? ??????? ??? ??? ???? ???, ?? ??? ?? ??? ?? ???? ??? ?? ???? ??? ???? ??, ?? ?? ?? ?????? ???? ?????? ?? ????? ???? ??? ?? ??? ?? ?? ??? ?? ???? ?? ???? ??? ? ??? ????, ??? ?? ?????? ???? ?? ????, ??? ?? ???? ????? ??? ???????? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,?????,Pero (in Egypt) (K); king over Egypt; head man of Egypt (U),????? ?? ??? ?? ?? ??????? ????????? ???? ?????? ?? ???? ??? ???????? ????? ?? ?? ????????? ??? ?? ??? ??? ????? ?? ??? ?? ?? ??????? ????????? ???? ?????? ?? ???? ??? ???????? ????? ?? ?? ????????? ??? ?? ??? ??? ????? ?? ???? ??? ????? ?????? ?????? ?? ???? ??? ????? ?????? ???????,,,,,,,,,,,,,,,,,,,,,,,,
t,"????, ",????,,"????, ??????? ?????? ?? ??? ???? ??, ???? ?? ??, ?????? ????? ???? ??? ?? ???? ??? ?? ?? ???? ??? ?? ???? ????? ?? ?? ???? ?? ??? ????? ??? ????? ???? ???? ???? ???????? ?? ???? ?? ?????? ??????????? ?? ???? ?? ???? (???? ?? ????) ???? ?? ??? ???? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,??????? ,,??????? ??? ?? ?????? ?? ??????? ?? ????? ?? ?? ??? ??? ?? ????? ?? ????????? ?????? ????? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????,,water (G); ,????? ?? ?? ?? ???? ??????? ????? ???? ?? ?????? ????? ?? ??? ???? ??? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????,,place near the door (G); ,?? ?? ???? ????? ?????? ?? ??? ?? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,???????,???????,"to speak well of (G); 
magnify (W);","??????? ?? ???? ?? ?? ?? ?????? ?? ????? ??? ?? ???? ?? ?? ???? ????? ??? ??? ???? ?? ???????? ?? ?????? ?? ????? ???? ??? ?? ???? ????? ??????????? ?? ????? ???? ????? ???? ????? ????? ?? ????? ?? ?????? ?? ???????? ?? ?????? ???? ???, ?? ????? ??? ?? ?? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????????? ,"?????????, ????????? ???? ??, ????????? ?? ??? ??, ????????? ??","to speak to God (G); 
plead (W);","????????? ?? ???? ?? ???? ????????? ?????? ?? ????? ?? ??? ???? ?? ???? ????? ????? ???? ?? ??????? ?? ????? ?? ?? ?? ?? ???? ?? ??? ?? ?????? ???? ???, ????? ???????? ?? ????????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ???? ,"??????, ?????, ????? ????","tell God's beautiful word (G); 
",????? ???? ?? ???? ?? ?????? ?? ??? ????? ???? ?? ??? ????? ?????? ?? ???????? ???? ? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,???? ,"giving to God one (R); priest (transliterated) (G); 
sacrificer (W);","???? ??????? ???? ???? ??? ?? (1) ?????? ?????? ???, (2) ???????? ?????? ???, (3) ??????? ??? ????????? ???? ???, (4) ????? ?? ?????? ???? ???, ?? (5) ????? ?? ???? ??????? ?? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"????, ???? ????","placing a thing by words / mouth;
tell what one is going to do in the future (G); promise (R);","???? ?? ????? ??? ???? ?? ????? ???? ??? ??? ???? ?? ?? ?? ??? ??? ?????? ???????? ????? ??? ????? ????? ???? ???? ???? ??? ???????? ?? ??? ???? ????? ???? ???, ???? ?? ??????? ?? ???? ??? ???? ?? ???? ???? ???? ""??? (????) ??? ???? ????? ?? ???? ????? ???, ?? (????) ??? ?? ??????""",,,,,,,,,,,,,,,,,,,,,,,,
t,??????????,?????????????,talk of prophet (R); speak words from God (W);,"????????????? ?? ????? ??? ?? ???????? ?? ???? ??????? ?? ?????? ?? ????? ?? ??? ????? ??? ???? ??? ????????????? ??????? ?? ???????? ???? ?? ??????? ???? ???, ??? ????????????? ?????????? ?? ?????? ?????? ???? ???, ?? ??? ????????????? ?????? ?? ?????? ?? ???? ??? ????? ???? (????? ??? ??????? ????????????? ????)",,,,,,,,,,,,,,,,,,,,,,,,
